Level,Date and Time,Source,Event ID,Task Category
Information,12/24/2025 9:48:47 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:47.241
ProcessGuid: {0c600330-69a7-694b-2b01-000000001200}
ProcessId: 4884
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-69a7-694b-2a01-000000001200}
ParentProcessId: 5152
ParentImage: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
ParentCommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:47 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:47.207
ProcessGuid: {0c600330-69a7-694b-2a01-000000001200}
ProcessId: 5152
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-6869-694b-0b00-000000001200}
ParentProcessId: 644
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:47 AM,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: EXE
UtcTime: 2025-12-24 04:18:47.067
ProcessGuid: {0c600330-69a6-694b-2801-000000001200}
ProcessId: 6784
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
TargetFilename: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
CreationUtcTime: 2025-11-15 13:14:59.809
User: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:46 AM,Microsoft-Windows-Sysmon,13,Registry value set (rule: RegistryEvent),"Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2025-12-24 04:18:46.848
ProcessGuid: {0c600330-6869-694b-0b00-000000001200}
ProcessId: 644
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\GoogleUpdaterService144.0.7547.0\ImagePath
Details: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update
User: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:46 AM,Microsoft-Windows-Sysmon,13,Registry value set (rule: RegistryEvent),"Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2025-12-24 04:18:46.848
ProcessGuid: {0c600330-6869-694b-0b00-000000001200}
ProcessId: 644
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\GoogleUpdaterService144.0.7547.0\Start
Details: DWORD (0x00000002)
User: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:46 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:46.440
ProcessGuid: {0c600330-69a6-694b-2901-000000001200}
ProcessId: 1364
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-69a6-694b-2801-000000001200}
ParentProcessId: 6784
ParentImage: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
ParentCommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update-internal
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:46 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:46.380
ProcessGuid: {0c600330-69a6-694b-2801-000000001200}
ProcessId: 6784
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update-internal
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-6869-694b-0b00-000000001200}
ParentProcessId: 644
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:46 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:46.217
ProcessGuid: {0c600330-69a6-694b-2701-000000001200}
ProcessId: 1604
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-69a5-694b-2601-000000001200}
ParentProcessId: 1256
ParentImage: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
ParentCommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --wake --system
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:45 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-12-24 04:18:45.089
ProcessGuid: {0c600330-69a5-694b-2601-000000001200}
ProcessId: 1256
Image: C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe
FileVersion: 144.0.7547.0
Description: Google Updater (x64)
Product: Google Updater (x64)
Company: Google LLC
OriginalFileName: updater.exe
CommandLine: ""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --wake --system
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {0c600330-686a-694b-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135
ParentProcessGuid: {0c600330-686b-694b-1c00-000000001200}
ParentProcessId: 1288
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/24/2025 9:48:44 AM,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: DLL
UtcTime: 2025-12-24 04:18:44.396
ProcessGuid: {0c600330-6904-694b-0201-000000001200}
ProcessId: 1076
Image: C:\Users\AK\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe
TargetFilename: C:\Users\AK\AppData\Local\Microsoft\OneDrive\25.222.1112.0002\platforms\qwindows.dll
CreationUtcTime: 2025-12-24 04:18:44.396
User: DESKTOP-V277QGT\AK"
