Date and Time,Event ID,Level,Source,UtcTime,Process Name,Process Path,Process ID,Parent Process Name,Command Line,User / Integrity Level,Hashes
12/24/2025 9:48:47 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:47.241,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,4884,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:47 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:47.207,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,5152,C:\Windows\System32\services.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:47 AM,11,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:47.067,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,6784,,,NT AUTHORITY\SYSTEM,
12/24/2025 9:48:46 AM,13,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:46.848,C:\Windows\system32\services.exe,C:\Windows\system32\services.exe,644,,,NT AUTHORITY\SYSTEM,
12/24/2025 9:48:46 AM,13,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:46.848,C:\Windows\system32\services.exe,C:\Windows\system32\services.exe,644,,,NT AUTHORITY\SYSTEM,
12/24/2025 9:48:46 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:46.440,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,1364,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:46 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:46.380,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,6784,C:\Windows\System32\services.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --system --windows-service --service=update-internal",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:46 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:46.217,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,1604,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=144.0.7547.0 ""--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log"" --initial-client-data=0x260,0x264,0x268,0x25c,0x26c,0x7ff781ace0b4,0x7ff781ace0c0,0x7ff781ace0d0",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:45 AM,1,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:45.089,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe,1256,C:\Windows\System32\svchost.exe,"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --wake --system",NT AUTHORITY\SYSTEM | System,"MD5=7C142184B057B515D8B4920E54B74C60,SHA256=320F6790E928200C76F9B0208485A86FC08FDB0C51F57A93B2903212353ECD2E,IMPHASH=7CA3A032BE704960F1EE0BBD52B72135"
12/24/2025 9:48:44 AM,11,Information,Microsoft-Windows-Sysmon,2025-12-24 04:18:44.396,C:\Users\AK\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,C:\Users\AK\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,1076,,,DESKTOP-V277QGT\AK,
